title,price,location_date,link
Lenovo S41-70 – laptop z 8 GB RAM,199,"Warszawa, Praga-Południe - 12 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-s41-70-laptop-z-8-gb-ram-CID99-ID16dnyv.html
laptop lenovo l440,199,Złotów - 25 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-l440-CID99-ID16nqpN.html
Biały laptop Lenovo YOGA 510-14ISK (80S7) dotykowy ekran,199,"Gdańsk, Śródmieście - 28 maja 2025",https://www.olx.pl/d/oferta/bialy-laptop-lenovo-yoga-510-14isk-80s7-dotykowy-ekran-CID99-ID160Xxc.html
"Laptop Lenovo 15,4 cala",199,"Wrocław, Fabryczna - 13 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-15-4-cala-CID99-ID12sZQ3.html
"Sprawny laptop lenovo G550 dla dziecka, do internetu",199,Wejherowo - 25 czerwca 2025,https://www.olx.pl/d/oferta/sprawny-laptop-lenovo-g550-dla-dziecka-do-internetu-CID99-ID157mFP.html
Laptop Lenovo t 440p,199,"Gliwice, Trynek - 24 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-t-440p-CID99-ID16lWVQ.html
Laptop Lenovo Z51-70 uszkodzony,199,"Wrocław, Psie Pole - 06 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-z51-70-uszkodzony-CID99-ID12APZe.html
laptop Lenovo ideapad 320-15iap + zasilacz,199,"Warszawa, Włochy - 23 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-320-15iap-zasilacz-CID99-ID16kXo1.html
Laptop Lenovo ThinkPad Edge E525,200,"Warszawa, Rembertów - 26 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-edge-e525-CID99-ID16nZcf.html
Laptop Lenovo ThinkPad Edge E525,200,"Warszawa, Rembertów - 26 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-edge-e525-CID99-ID16nZcf.html
Lenovo laptop Intel SSD 4gb do pracy nauki internetu,200,"Łódź, Polesie - 11 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-laptop-intel-ssd-4gb-do-pracy-nauki-internetu-CID99-ID16bOqw.html
Laptop Lenovo B590 cały komplet Windows 10 HDMI RAM 4Gb DVD bateria 2h,200,Płock - 20 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-b590-caly-komplet-windows-10-hdmi-ram-4gb-dvd-bateria-2h-CID99-ID16jtBW.html
Laptop Lenovo Ideapad,200,Staszów - 24 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-CID99-ID16mIgo.html
LaptopLenovo Ideapad 100S,200,Byczyna - 24 czerwca 2025,https://www.olx.pl/d/oferta/laptoplenovo-ideapad-100s-CID99-ID16msQJ.html
Lenovo ThinkPad x300,200,"Częstochowa, Parkitka - 23 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-thinkpad-x300-CID99-ID16lhnk.html
Laptop/Tablet Lenovo Yoga,200,Czernica - 25 czerwca 2025,https://www.olx.pl/d/oferta/laptop-tablet-lenovo-yoga-CID99-ID16nm4W.html
Laptop Lenovo G500,200,Koszalin - 24 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g500-CID99-ID16mLo4.html
Laptop Lenovo G500,200,Koszalin - 24 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g500-CID99-ID16mLo4.html
"Laptop 300e 2nd Gen 11,6"" Intel Celeron 4 GB/128 GB",200,"Kraków, Mistrzejowice - 19 czerwca 2025",https://www.olx.pl/d/oferta/laptop-300e-2nd-gen-11-6-intel-celeron-4-gb-128-gb-CID99-ID140rXP.html
Laptop Lenovo G500,200,Latoszyn - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g500-CID99-ID16iuzs.html
Lenovo ThinkPad 110 i5 7gen 8gb ram,200,Piastów - 26 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-thinkpad-110-i5-7gen-8gb-ram-CID99-ID16l8Nk.html
Laptop Lenovo ThinkPad T410 i5,200,"Wrocław, Krzyki - Dzisiaj o 11:26",https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-t410-i5-CID99-ID1606fF.html
Laptop Lenovo G50-30,200,Czernichów - 13 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g50-30-CID99-ID16eds5.html
Laptop Lenovo ThinkPad L460 i5-6200U 8GB 240GB SSD 1600x900,200,"Kraków, Dębniki - 07 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-l460-i5-6200u-8gb-240gb-ssd-1600x900-CID99-ID168QPl.html
Sprzedam Laptop Lenovo Ideapad s100,200,Malbork - 31 maja 2025,https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-ideapad-s100-CID99-ID163rdr.html
W Dobrej Cenie TABLET Laptop Lenovo Thinkpad Windows 11 Pro,200,"Warszawa, Śródmieście - 25 czerwca 2025",https://www.olx.pl/d/oferta/w-dobrej-cenie-tablet-laptop-lenovo-thinkpad-windows-11-pro-CID99-ID16noKI.html
Laptop Lenovo,200,Płock - 26 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-CID99-ID15Z8Mr.html
Laptop Lenovo IDEA PAD MIIX 300-10IBY,200,"Łódź, Górna - 05 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-idea-pad-miix-300-10iby-CID99-ID12kPaj.html
"Lenovo ideapad Z710 wyświetlacz 17,3 cala",200,"Łódź, Górna - 19 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-ideapad-z710-wyswietlacz-17-3-cala-CID99-ID16iXTK.html
Laptop lenovo uzywka,200,Ełk - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-uzywka-CID99-IDTTiP2.html
Lenovo ideapad 100S 80R2 2021 Windows,200,Gniezno - 22 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-ideapad-100s-80r2-2021-windows-CID99-ID15WM19.html
Komputer Laptop x,200,Nysa - 20 czerwca 2025,https://www.olx.pl/d/oferta/komputer-laptop-x-CID99-ID16jiWr.html
Laptop Lenovo ideapad 120S-14Iap,200,Jeziorki - 05 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-120s-14iap-CID99-ID166UAQ.html
Sprzedam laptop Lenovo IdeaPad 100S – lekki i kompaktowy!,200,"Wrocław, Śródmieście - 06 czerwca 2025",https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-ideapad-100s-lekki-i-kompaktowy-CID99-ID14cGlV.html
Laptop chromebok Lenovo 100e,200,"Częstochowa, Północ - 26 czerwca 2025",https://www.olx.pl/d/oferta/laptop-chromebok-lenovo-100e-CID99-ID15NldF.html
